number,value,datetime_start,datetime_complete,duration,params_centroid_method,params_centroid_threshold,params_flag_condition,params_icp_max_correspondence_dist,params_point_threshold,state
36,0.3506849315068493,2026-05-26 05:58:47.327269,2026-05-26 06:23:36.382641,0 days 00:24:49.055372,first_diff,0.15309459434332295,and,0.7190554319107728,0.0457428165281947,COMPLETE
37,0.24556616643929055,2026-05-26 06:23:36.447323,2026-05-26 06:46:57.467402,0 days 00:23:21.020079,first_diff,0.33123179217556964,and,0.4929487826052609,0.12685367563522143,COMPLETE
38,0.3651767455448437,2026-05-26 06:46:57.530983,2026-05-26 07:10:43.029852,0 days 00:23:45.498869,first_diff,0.18154719169209235,and,0.6523225042109665,0.08286662247089918,COMPLETE
39,0.3728370878223964,2026-05-26 07:10:43.088473,2026-05-26 07:34:38.450824,0 days 00:23:55.362351,first_diff,0.3022836269765662,and,0.7578998707846141,0.05428044218172555,COMPLETE
40,0.31920460491889063,2026-05-26 07:34:38.509551,2026-05-26 07:58:32.555796,0 days 00:23:54.046245,first_diff,0.40414896458693395,and,0.6188325292806354,0.09852760300466899,COMPLETE
41,0.37873754152823924,2026-05-26 07:58:32.608769,2026-05-26 08:22:06.019998,0 days 00:23:33.411229,first_diff,0.30706130758627237,and,0.5833372542938875,0.07562215971016209,COMPLETE
42,0.3658536585365854,2026-05-26 08:22:06.070420,2026-05-26 08:45:31.591139,0 days 00:23:25.520719,first_diff,0.35793427130380046,and,0.5478830660880888,0.0779434649688607,COMPLETE
43,0.267005076142132,2026-05-26 08:45:31.641438,2026-05-26 09:08:29.043966,0 days 00:22:57.402528,first_diff,0.21113095328685771,and,0.4709411593056705,0.12392866751858081,COMPLETE
44,0.3794658342004855,2026-05-26 09:08:29.094255,2026-05-26 09:32:56.642678,0 days 00:24:27.548423,first_diff,0.2871226062860317,and,0.6464968367972891,0.07485292631852795,COMPLETE
45,0.27013422818791943,2026-05-26 09:32:56.699822,2026-05-26 09:57:01.189371,0 days 00:24:04.489549,first_diff,0.1033011025505359,and,0.586685470940387,0.15981123750394283,COMPLETE
46,0.2987212276214834,2026-05-26 09:57:01.263727,2026-05-26 10:19:41.399478,0 days 00:22:40.135751,first_diff,0.45947807937213475,and,0.3426785665254987,0.040673384762223444,COMPLETE
47,0.35819142689371697,2026-05-26 10:19:41.459838,2026-05-26 10:42:03.531433,0 days 00:22:22.071595,first_diff,0.16979992326611665,and,0.7003595254646509,0.0925313501671154,COMPLETE
48,0.3649732620320856,2026-05-26 10:42:03.591885,2026-05-26 11:00:17.734526,0 days 00:18:14.142641,first_diff,0.2696222854805028,and,0.5182729745651135,0.05491793695341053,COMPLETE
49,0.174573055028463,2026-05-26 11:00:17.797941,2026-05-26 11:18:06.472046,0 days 00:17:48.674105,first_diff,0.5291844544528383,and,0.7758671646061159,0.13728645679911267,COMPLETE
